Pagecount,INTcount,EXTcount,URLfragments,timestamp
151,451,122,57,2021-11-15T15:44:26Z
152,111,116,16,2021-06-25T15:57:09Z
153,95,65,47,2021-08-18T04:51:39Z
154,640,137,100,2021-11-22T15:43:30Z
155,139,78,30,2021-08-28T19:55:52Z
156,17,3,2,2021-10-10T10:47:19Z
157,157,54,26,2021-10-30T04:14:31Z
158,568,138,113,2021-11-09T02:19:14Z
159,15,13,6,2021-08-16T14:35:33Z
160,218,36,28,2021-11-02T22:01:35Z
161,39,23,16,2021-10-20T10:48:28Z
162,108,66,24,2021-09-17T12:43:27Z
163,590,406,68,2021-11-29T14:54:10Z
164,54,24,4,2021-07-12T17:36:37Z
165,48,27,2,2021-09-10T12:52:23Z
166,116,54,16,2021-11-17T20:13:00Z
167,23,14,18,2021-11-13T15:04:47Z
168,54,33,42,2021-09-30T08:30:09Z
169,21,15,10,2020-12-31T09:41:46Z
170,60,20,14,2021-11-30T07:27:56Z
171,217,226,113,2021-09-30T04:49:51Z
172,45,13,6,2021-12-01T15:02:25Z
173,217,227,113,2021-09-30T04:49:51Z
174,42,38,18,2021-01-30T09:49:07Z
175,14,12,6,2018-12-02T08:43:09Z
176,28,14,2,2020-03-25T12:19:13Z
177,26,8,2,2019-05-21T11:07:53Z
178,15,14,8,2020-12-30T22:56:00Z
179,38,27,18,2021-05-25T04:13:54Z
180,215,32,2,
181,491,208,275,2021-11-22T19:03:50Z
182,9,10,6,2021-10-14T18:19:54Z
183,34,17,17,2021-08-30T17:37:17Z
184,126,99,131,2021-10-08T19:33:43Z
185,9,10,6,2021-10-14T18:19:54Z
186,24,21,12,2021-05-12T00:19:36Z
187,85,13,2,
188,23,14,18,2021-11-13T15:04:47Z
189,23,14,18,2021-11-13T15:04:47Z
190,23,14,18,2021-11-13T15:04:47Z
191,23,14,18,2021-11-13T15:04:47Z
192,23,14,18,2021-11-13T15:04:47Z
193,23,14,18,2021-11-13T15:04:47Z
194,23,14,18,2021-11-13T15:04:47Z
195,23,14,18,2021-11-13T15:04:47Z
196,23,14,18,2021-11-13T15:04:47Z
197,23,14,18,2021-11-13T15:04:47Z
198,23,14,18,2021-11-13T15:04:47Z
199,23,14,18,2021-11-13T15:04:47Z
